timestamp,Channel 1,Channel 2,Channel 3,Channel 4
1700388224.9716983,-111.328125,-161.1328125,-148.92578125,351.5625
1700388224.975313,-436.03515625,-160.64453125,-155.76171875,-818.84765625
1700388224.9789274,-186.03515625,-142.08984375,-145.5078125,-683.10546875
1700388224.982542,187.98828125,-111.328125,-132.8125,474.609375
1700388224.9861565,24.4140625,-136.23046875,-137.6953125,572.265625
1700388224.989771,-389.16015625,-210.44921875,-153.80859375,-671.38671875
1700388224.9933856,-263.671875,-166.50390625,-139.16015625,-810.05859375
1700388224.997,146.97265625,-166.50390625,-117.67578125,190.4296875
1700388225.0006146,152.83203125,-140.13671875,-109.375,827.1484375
1700388225.004229,-331.54296875,-93.26171875,-116.2109375,-246.58203125
1700388225.0078437,-343.26171875,-148.4375,-122.0703125,-906.73828125
1700388225.0114582,43.9453125,-97.16796875,-109.375,-145.5078125
1700388225.0152116,235.3515625,-30.2734375,-95.21484375,815.91796875
1700388225.018965,-178.22265625,-98.14453125,-106.93359375,145.99609375
1700388225.0227184,-372.0703125,-176.7578125,-122.0703125,-853.515625
1700388225.0264719,-55.6640625,-124.51171875,-112.79296875,-435.05859375
1700388225.0302253,259.27734375,-45.8984375,-91.796875,679.19921875
1700388225.033979,-41.50390625,-107.421875,-90.8203125,475.09765625
1700388225.0377324,-373.53515625,-177.24609375,-95.703125,-715.33203125
1700388225.0414858,-139.6484375,-159.66796875,-90.33203125,-654.296875
1700388225.0452392,220.21484375,-24.4140625,-81.0546875,433.10546875
1700388225.0489926,91.30859375,-1.953125,-87.890625,721.6796875
1700388225.052746,-331.54296875,-149.4140625,-112.79296875,-445.80078125
1700388225.0564995,-230.46875,-137.20703125,-109.375,-800.78125
1700388225.0614634,163.0859375,4.39453125,-88.37890625,140.13671875
1700388225.0664272,233.3984375,-9.27734375,-86.42578125,875.9765625
1700388225.0713909,-221.19140625,-111.328125,-99.12109375,-77.1484375
1700388225.0763547,-307.12890625,-95.21484375,-92.7734375,-858.88671875
1700388225.0813186,62.5,-45.41015625,-80.078125,-182.6171875
1700388225.0862823,301.7578125,-40.0390625,-79.1015625,849.12109375
1700388225.0912461,-91.30859375,-147.4609375,-95.703125,286.1328125
1700388225.09621,-343.75,-137.20703125,-103.515625,-801.26953125
1700388225.1011739,-71.2890625,-1.46484375,-93.75,-507.32421875
1700388225.1061378,271.97265625,-15.13671875,-83.984375,628.90625
1700388225.1111014,12.6953125,-80.56640625,-90.33203125,554.19921875
1700388225.1160653,-369.62890625,-89.84375,-102.05078125,-658.69140625
1700388225.1197588,-170.41015625,-52.734375,-89.84375,-708.984375
1700388225.1234522,225.5859375,-38.57421875,-78.61328125,363.76953125
1700388225.1271458,145.5078125,-63.4765625,-90.33203125,783.203125
1700388225.1308393,-312.5,-84.9609375,-104.4921875,-370.60546875
1700388225.134533,-249.51171875,-91.30859375,-96.6796875,-831.54296875
1700388225.1382265,156.25,-83.984375,-88.37890625,91.30859375
1700388225.1419199,260.25390625,-62.5,-91.30859375,901.3671875
1700388225.1456134,-200.1953125,-75.68359375,-104.00390625,-12.6953125
1700388225.149307,-323.2421875,-60.05859375,-99.609375,-872.55859375
1700388225.1530004,43.45703125,-84.9609375,-82.03125,-254.39453125
1700388225.156694,296.875,-67.3828125,-75.68359375,802.734375
1700388225.1603875,-93.75,-25.390625,-91.796875,304.19921875
1700388225.1640882,-356.4453125,-97.65625,-104.4921875,-800.29296875
1700388225.167789,-77.63671875,-124.51171875,-89.84375,-533.69140625
1700388225.1714897,264.16015625,-41.9921875,-70.80078125,573.73046875
